Designator,Mid X,Mid Y,Rotation,Layer
C1,60.946202,-86.995084,270.0,top
C10,60.708952,-79.655084,0.0,top
C11,51.46,-86.71,270.0,top
C12,58.915184,-83.436834,0.0,top
C13,56.375184,-74.419834,0.0,top
C14,45.087952,-80.544084,180.0,top
C15,50.533184,-73.403834,135.0,top
C16,57.660952,-86.132084,270.0,top
C17,56.136952,-86.132084,270.0,top
C2,68.991202,-83.975084,90.0,top
C3,65.931202,-76.175084,270.0,top
C4,58.915184,-82.420834,0.0,top
C5,60.708952,-78.131084,0.0,top
C6,45.087952,-82.068084,180.0,top
C7,41.262184,-73.940084,180.0,top
C8,41.516184,-80.642834,0.0,top
C9,62.146202,-86.995084,90.0,top
D1,65.161202,-87.525084,0.0,top
D3,46.72,-93.3025,90.0,top
R10,67.851202,-66.925084,180.0,top
R11,45.087952,-78.512084,0.0,top
R4,46.72,-90.62,270.0,top
R5,57.966202,-90.105084,180.0,top
R6,57.966202,-91.645084,0.0,top
R7,45.641202,-85.575084,90.0,top
R8,64.431202,-80.085084,180.0,top
R9,64.431202,-81.615084,180.0,top
SW1,73.071202,-68.685084,180.0,top
SW10,131.664795,-34.998954,0.0,top
SW11,153.918524,-26.2103,0.0,top
SW12,177.472295,-28.436076,0.0,top
SW13,130.349783,-65.117687,0.0,top
SW14,142.562747,-50.562843,0.0,top
SW15,160.416907,-44.06446,0.0,top
SW16,179.128254,-47.363775,0.0,top
SW17,119.548702,-98.619304,0.0,top
SW18,134.103546,-86.40634,0.0,top
SW19,122.848017,-117.330652,0.0,top
SW2,87.432609,-34.998954,0.0,top
SW20,137.402862,-105.117687,0.0,top
SW21,151.957706,-92.904723,0.0,top
SW3,39.96915,-47.363775,0.0,top
SW4,58.680497,-44.06446,0.0,top
SW5,76.534657,-50.562843,0.0,top
SW6,88.747621,-65.117687,0.0,top
SW7,81.694542,-105.117687,0.0,top
SW8,96.249387,-117.330652,0.0,top
SW9,115.794938,-52.904723,0.0,top
U1,66.751202,-84.427584,90.0,top
U2,109.548753,-78.28851,180.0,top
U3,52.676202,-79.655084,270.0,top
U4,64.021202,-70.525084,270.0,top
Y1,41.531952,-77.369084,90.0,top
